School,Date of Incident,Bus Route: Check all that Apply,Type of Incident: Check all that Apply - Selected Choice,"As the school bus driver, I have taken the following actions: - Selected Choice",Year,Term,Student Identifier,bus.dr,Ethnicity,Gender,Grade_Level
Shermer High School,02/03/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A12692066BZD,1,W,M,11
Shermer High School,02/03/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A16674929BZD,2,W,M,8
Shermer High School,02/03/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14029676BZD,1,W,M,9
Shermer High School,02/04/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13368554BZD,1,W,M,9
Shermer High School,02/10/2025,Route to School,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13732628BZD,8,B,M,7
Shermer High School,02/07/2025,Return Trip Home,"Willful disobedience,Leaving bus without permission",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13732628BZD,9,B,M,7
Shermer High School,02/07/2025,Return Trip Home,Being disrespectful toward driver or aide,Request school administrator assistance ASAP!,2024 - 2025,3Q,A13631453BZD,3,W,M,7
Shermer High School,02/11/2025,Route to School,"Possession of or use of Tobacco, Drugs, Alcohol",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13065230BZD,2,W,M,9
Shermer High School,02/11/2025,Route to School,"Possession of or use of Tobacco, Drugs, Alcohol",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13350404BZD,1,W,M,12
Shermer High School,03/03/2025,Return Trip Home,"Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13368554BZD,2,W,M,9
Shermer High School,03/05/2025,Return Trip Home,"Defacing school bus or destroying property,Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15825080BZD,1,W,M,8
Shermer High School,03/05/2025,Return Trip Home,"Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14576444BZD,3,W,M,5
Shermer High School,03/07/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14899361BZD,1,W,M,10
Shermer High School,03/07/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13070771BZD,2,W,M,9
Shermer High School,03/07/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13065230BZD,3,W,M,9
Shermer High School,03/11/2025,Route to School,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A16149077BZD,2,B,M,5
Shermer High School,03/11/2025,Route to School,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13861622BZD,1,W,F,7
Shermer High School,03/11/2025,Return Trip Home,Using profane or abusive language,Request school administrator assistance ASAP!,2024 - 2025,3Q,A13026347BZD,1,W,F,10
Shermer High School,03/13/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13070771BZD,3,W,M,9
Shermer High School,03/13/2025,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A12732125BZD,3,W,M,9
Shermer High School,03/13/2025,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15026240BZD,1,W,M,6
Shermer High School,03/13/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13368554BZD,3,W,M,9
Shermer High School,03/13/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,4Q,A14899361BZD,2,W,M,10
Shermer High School,03/24/2025,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13732628BZD,10,B,M,7
Shermer High School,03/25/2025,Route to School,"Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A14899361BZD,3,W,M,10
Shermer High School,03/26/2025,Return Trip Home,"Fighting, Pushing, Tripping,Being disrespectful toward driver or aide",Request school administrator assistance ASAP!,2024 - 2025,4Q,A14576444BZD,4,W,M,5
Shermer High School,03/27/2025,Return Trip Home,"Using profane or abusive language,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A14189777BZD,2,W,M,6
Shermer High School,04/03/2025,Return Trip Home,"Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13378412BZD,2,W,F,8
Shermer High School,04/03/2025,Route to School,Willful disobedience,Request school administrator assistance ASAP!,2024 - 2025,4Q,A15790118BZD,1,H,F,8
