Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors,Student_Number
Shermer High School,12:00pm - 1:00pm,2025-02-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,B,B,M,5,F,A16149077BZD,2024-2025,3Q,1.0,
Shermer High School,8:00am - 9:00am,2025-02-07,Major Violation,,Continued Misconduct,Gym,105.0,B,B,M,5,F,A16149077BZD,2024-2025,3Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-11-14,Minor Violation (5 times in the same quarter),Disruption,,Music Room,17.0,W,W,M,0,F,A16574678BZD,2024-2025,2Q,1.0,
Springfield Elementary,2:00pm -3:00pm,2024-04-12,Minor Violation (5 times in the same quarter),Insubordination,,Bathroom,17.0,W,W,F,0,F,A16298201BZD,2023-2024,4Q,1.0,
Springfield Elementary,12:00pm - 1:00pm,2024-05-01,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,17.0,W,W,F,0,F,A16298201BZD,2023-2024,4Q,2.0,
Bayside,9:00am - 10:00am,2024-10-29,Minor Violation (5 times in the same quarter),Other,,Playground,15.0,W,W,M,4,F,A14923526BZD,2024-2025,2Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-12-09,Major Violation,,Threats,Classroom,17.0,W,W,M,0,F,A16298552BZD,2024-2025,2Q,0.0,
Shermer High School,1:00pm - 2:00pm,2024-04-17,Major Violation,,Continued Misconduct,Classroom,105.0,W,W,F,7,F,A14900759BZD,2023-2024,4Q,0.0,
Shermer High School,1:00pm - 2:00pm,2024-05-14,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105.0,W,W,F,7,F,A14900759BZD,2023-2024,4Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-03-25,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,F,10,R,A15436550BZD,2023-2024,4Q,1.0,
Bayside,2:00pm -3:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,4,F,A14911667BZD,2024-2025,1Q,1.0,
Bayside,After School,2024-10-02,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,F,4,F,A14911667BZD,2024-2025,1Q,2.0,
Bayside,8:00am - 9:00am,2024-10-25,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Lobby/Commons,15.0,W,W,F,4,F,A14911667BZD,2024-2025,2Q,1.0,
Bayside,9:00am - 10:00am,2024-11-19,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,4,F,A14911667BZD,2024-2025,2Q,2.0,
Bayside,8:00am - 9:00am,2024-12-12,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,4,F,A14911667BZD,2024-2025,2Q,3.0,
Bayside,12:00pm - 1:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,M,3,F,A15319214BZD,2024-2025,1Q,1.0,
Bayside,12:00pm - 1:00pm,2024-11-12,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,M,3,P,A15319214BZD,2024-2025,2Q,1.0,
Bayside,8:00am - 9:00am,2024-12-18,Minor Violation (5 times in the same quarter),Disruption,,Assembly/Special Event/Field Trip,15.0,W,W,M,3,F,A15973106BZD,2024-2025,2Q,1.0,
Bayside,2:00pm -3:00pm,2025-01-08,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Gym,15.0,W,W,M,3,F,A15973106BZD,2024-2025,3Q,1.0,
Bayside,11:00am - 12:00pm,2024-10-31,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15.0,W,W,M,2,F,A15727337BZD,2024-2025,2Q,1.0,
Bayside,9:00am - 10:00am,2024-09-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,4,P,A13383923BZD,2024-2025,1Q,1.0,
Bayside,1:00pm - 2:00pm,2024-12-16,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,M,4,P,A13383923BZD,2024-2025,2Q,1.0,
Bayside,2:00pm -3:00pm,2025-02-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,4,F,A14850677BZD,2024-2025,3Q,1.0,
Hill Valley High School,10:00am-11:00am,2024-12-18,Minor Violation (5 times in the same quarter),Other,,Gym,5.0,H,"W,H",M,0,F,A16823768BZD,2024-2025,2Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-04-30,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,10,P,A12819251BZD,2023-2024,4Q,1.0,
Springfield Elementary,9:00am - 10:00am,2024-04-15,Minor Violation (5 times in the same quarter),Other,,Bathroom,17.0,H,"W,H",F,0,F,A16350779BZD,2023-2024,4Q,1.0,
Springfield Elementary,10:00am-11:00am,2024-04-25,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,17.0,H,"W,H",F,0,F,A16350779BZD,2023-2024,4Q,2.0,
Shermer High School,8:00am - 9:00am,2024-03-19,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,1.0,
Shermer High School,9:00am - 10:00am,2024-03-25,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,2.0,
Shermer High School,1:00pm - 2:00pm,2024-04-04,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,3.0,
Shermer High School,1:00pm - 2:00pm,2024-04-30,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,4.0,
Shermer High School,1:00pm - 2:00pm,2024-05-02,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,4.0,
Shermer High School,11:00am - 12:00pm,2024-05-06,Major Violation,,Weapons,Classroom,105.0,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,3.0,
Shermer High School,12:00pm - 1:00pm,2024-08-23,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105.0,B,"B,W",M,7,F,A14064896BZD,2024-2025,1Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-08-23,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,B,"B,W",M,7,F,A14064896BZD,2024-2025,1Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-08-23,Major Violation,,Continued Misconduct,Classroom,105.0,B,"B,W",M,7,F,A14064896BZD,2024-2025,1Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-11-12,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,B,"B,W",M,7,F,A14064896BZD,2024-2025,2Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-11-13,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,B,"B,W",M,7,F,A14064896BZD,2024-2025,2Q,2.0,
Shermer High School,9:00am - 10:00am,2024-11-21,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,B,"B,W",M,7,F,A14064896BZD,2024-2025,2Q,3.0,
Shermer High School,12:00pm - 1:00pm,2024-12-10,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,B,"B,W",M,7,F,A14064896BZD,2024-2025,2Q,4.0,
Springfield Elementary,9:00am - 10:00am,2024-04-19,Minor Violation (5 times in the same quarter),Other,,Bathroom,17.0,W,W,M,0,P,A16350788BZD,2023-2024,4Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-08-19,Major Violation,,Continued Misconduct,Classroom,17.0,W,W,F,0,P,A16709699BZD,2024-2025,1Q,0.0,
Springfield Elementary,9:00am - 10:00am,2024-09-04,Minor Violation (5 times in the same quarter),Other,,Bathroom,17.0,W,W,F,0,F,A16709699BZD,2024-2025,1Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-08-19,Major Violation,,Assault,Media Center,17.0,W,W,F,0,F,A16709699BZD,2024-2025,1Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-10-03,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Cafeteria,17.0,W,W,M,1,F,A16350788BZD,2024-2025,1Q,1.0,
Bayside,9:00am - 10:00am,2024-10-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15.0,W,W,M,3,F,A15144443BZD,2024-2025,2Q,1.0,
Bayside,2:00pm -3:00pm,2024-11-20,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,3,F,A15144443BZD,2024-2025,2Q,2.0,
Bayside,12:00pm - 1:00pm,2024-11-22,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,3,F,A15144443BZD,2024-2025,2Q,3.0,
Bayside,12:00pm - 1:00pm,2024-11-22,Major Violation,,Continued Misconduct,Classroom,15.0,W,W,M,3,F,A15144443BZD,2024-2025,2Q,3.0,
Bayside,10:00am-11:00am,2024-09-20,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,15.0,W,W,M,2,F,A15597683BZD,2024-2025,1Q,1.0,
Shermer High School,11:00am - 12:00pm,2024-04-25,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,H,"W,H",M,11,F,A11866121BZD,2023-2024,4Q,1.0,
Shermer High School,10:00am-11:00am,2024-05-02,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,H,"W,H",M,11,F,A11866121BZD,2023-2024,4Q,1.0,
Shermer High School,9:00am - 10:00am,2024-05-16,Major Violation,,Continued Misconduct,Classroom,105.0,H,"W,H",M,11,F,A11866121BZD,2023-2024,4Q,0.0,
Bayside,11:00am - 12:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15.0,P,P,F,2,F,A16174169BZD,2024-2025,1Q,1.0,
Shermer High School,9:00am - 10:00am,2024-03-04,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105.0,W,W,M,7,F,A13380425BZD,2023-2024,4Q,1.0,
Shermer High School,9:00am - 10:00am,2024-03-08,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,W,W,M,7,F,A13380425BZD,2023-2024,4Q,2.0,
Shermer High School,2:00pm -3:00pm,2024-03-18,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,7,F,A13380425BZD,2023-2024,4Q,3.0,
Shermer High School,9:00am - 10:00am,2024-04-08,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,7,F,A13380425BZD,2023-2024,4Q,4.0,
Shermer High School,8:00am - 9:00am,2024-04-17,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,7,F,A13380425BZD,2023-2024,4Q,5.0,
Shermer High School,1:00pm - 2:00pm,2024-05-14,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105.0,W,W,M,7,F,A13380425BZD,2023-2024,4Q,6.0,
Bayside,11:00am - 12:00pm,2024-12-16,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,3,F,A14933648BZD,2024-2025,2Q,1.0,
Bayside,9:00am - 10:00am,2024-12-18,Minor Violation (5 times in the same quarter),Disruption,,Assembly/Special Event/Field Trip,15.0,W,W,M,3,F,A14933648BZD,2024-2025,2Q,2.0,
Rydell High School,Before School,2024-09-11,Minor Violation (5 times in the same quarter),Other,,Parking Lot,35.0,B,B,F,3,R,A15145367BZD,2024-2025,1Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-04-30,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Lobby/Commons,17.0,W,W,M,0,F,A15857081BZD,2023-2024,4Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-05-14,Major Violation,,Continued Misconduct,Gym,17.0,W,W,M,0,F,A15857081BZD,2023-2024,4Q,0.0,
Bayside,1:00pm - 2:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,F,2,F,A15850814BZD,2024-2025,1Q,1.0,
Springfield Elementary,10:00am-11:00am,2024-05-13,Major Violation,,Threats,Classroom,17.0,W,W,M,1,P,A15849920BZD,2023-2024,4Q,0.0,
Springfield Elementary,10:00am-11:00am,2024-09-04,Minor Violation (5 times in the same quarter),Disruption,,Bathroom,17.0,W,W,F,0,F,A16709399BZD,2024-2025,1Q,1.0,
Bayside,12:00pm - 1:00pm,2024-10-30,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15.0,W,W,M,4,R,A14781935BZD,2024-2025,2Q,1.0,
Bayside,1:00pm - 2:00pm,2025-01-15,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,M,2,P,A15849920BZD,2024-2025,3Q,1.0,
Shermer High School,10:00am-11:00am,2024-04-11,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105.0,W,W,M,8,F,A15597935BZD,2023-2024,4Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-05-16,Major Violation,,"Threats,Bullying",Classroom,105.0,W,W,M,8,F,A13364417BZD,2023-2024,4Q,0.0,
Shermer High School,12:00pm - 1:00pm,2024-02-29,Minor Violation (5 times in the same quarter),Other,,Classroom,105.0,W,W,M,8,F,A13263347BZD,2023-2024,4Q,1.0,
Bayside,9:00am - 10:00am,2024-09-12,Minor Violation (5 times in the same quarter),Preparedness,,Classroom,15.0,W,W,F,3,F,A15283073BZD,2024-2025,1Q,1.0,
Bayside,2:00pm -3:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Disruption,,Bus Area/Loading Area,15.0,W,W,F,3,F,A15283073BZD,2024-2025,1Q,2.0,
Bayside,12:00pm - 1:00pm,2024-10-01,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,3,F,A15283073BZD,2024-2025,1Q,3.0,
Shermer High School,10:00am-11:00am,2024-08-26,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105.0,W,W,M,11,F,A12481682BZD,2024-2025,1Q,1.0,
Shermer High School,9:00am - 10:00am,2024-08-26,Major Violation,,Continued Misconduct,Classroom,105.0,W,W,M,11,F,A12481682BZD,2024-2025,1Q,1.0,
Shermer High School,11:00am - 12:00pm,2024-09-09,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,11,F,A12481682BZD,2024-2025,1Q,2.0,
Shermer High School,10:00am-11:00am,2024-09-10,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105.0,W,W,M,11,F,A12481682BZD,2024-2025,1Q,3.0,
Bayside,9:00am - 10:00am,2024-09-12,Major Violation,,"Continued Misconduct,Leaving class/school without permission",Gym,15.0,W,"B,W",M,2,F,A15130133BZD,2024-2025,1Q,0.0,
Bayside,9:00am - 10:00am,2024-11-13,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,"B,W",M,2,F,A15130133BZD,2024-2025,2Q,1.0,
Springfield Elementary,12:00pm - 1:00pm,2024-10-23,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,17.0,W,W,F,1,F,A16350794BZD,2024-2025,2Q,1.0,
Bayside,12:00pm - 1:00pm,2024-10-01,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,3,F,A16413998BZD,2024-2025,1Q,1.0,
Hill Valley High School,10:00am-11:00am,2024-09-11,Minor Violation (5 times in the same quarter),Disruption,,Bathroom,5.0,W,W,M,0,P,A16817774BZD,2024-2025,1Q,1.0,
Rydell High School,Unknown,2024-09-16,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,W,W,F,3,F,A15144356BZD,2024-2025,1Q,1.0,
Rydell High School,12:00pm - 1:00pm,2024-09-25,Minor Violation (5 times in the same quarter),Other,,Cafeteria,35.0,W,W,F,3,F,A15144356BZD,2024-2025,1Q,1.0,
Rydell High School,8:00am - 9:00am,2024-09-26,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,W,W,F,3,F,A15144356BZD,2024-2025,1Q,2.0,
Rydell High School,Unknown,2024-11-15,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,35.0,W,W,F,3,F,A15144356BZD,2024-2025,2Q,1.0,
Springfield Elementary,10:00am-11:00am,2024-04-17,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,17.0,H,"W,H",M,0,F,A16389965BZD,2023-2024,4Q,1.0,
Rydell High School,12:00pm - 1:00pm,2024-08-21,Minor Violation (5 times in the same quarter),Other,,Classroom,35.0,B,B,M,0,F,A16157912BZD,2024-2025,1Q,1.0,
Rydell High School,11:00am - 12:00pm,2024-08-28,Minor Violation (5 times in the same quarter),Other,,Classroom,35.0,B,B,M,0,F,A16157912BZD,2024-2025,1Q,2.0,
Rydell High School,2:00pm -3:00pm,2024-08-28,Minor Violation (5 times in the same quarter),Other,,Classroom,35.0,B,B,M,0,F,A16157912BZD,2024-2025,1Q,3.0,
Rydell High School,12:00pm - 1:00pm,2024-09-24,Minor Violation (5 times in the same quarter),Other,,Playground,35.0,W,W,M,3,P,A14699717BZD,2024-2025,1Q,1.0,
Rydell High School,11:00am - 12:00pm,2024-10-31,Minor Violation (5 times in the same quarter),Other,,Cafeteria,35.0,B,B,M,0,F,A16157912BZD,2024-2025,2Q,1.0,
Rydell High School,10:00am-11:00am,2024-12-10,Minor Violation (5 times in the same quarter),Disruption,,Classroom,35.0,B,B,M,0,F,A16157912BZD,2024-2025,2Q,2.0,
Rydell High School,8:00am - 9:00am,2025-01-31,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,B,B,M,0,F,A16157912BZD,2024-2025,3Q,1.0,
Rydell High School,10:00am-11:00am,2025-01-31,Minor Violation (5 times in the same quarter),Other,,Classroom,35.0,B,B,M,0,F,A16157912BZD,2024-2025,3Q,2.0,
Rydell High School,9:00am - 10:00am,2025-02-04,Minor Violation (5 times in the same quarter),Disruption,,Classroom,35.0,B,B,M,0,F,A16157912BZD,2024-2025,3Q,3.0,
Hill Valley High School,11:00am - 12:00pm,2024-11-12,Major Violation,,Bullying,Cafeteria,5.0,W,W,M,3,F,A14523605BZD,2024-2025,2Q,0.0,
Bayside,12:00pm - 1:00pm,2024-10-30,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15.0,B,B,M,4,F,A14794355BZD,2024-2025,2Q,1.0,
Bayside,10:00am-11:00am,2024-12-10,Major Violation,,Continued Misconduct,Media Center,15.0,B,B,M,4,F,A14794355BZD,2024-2025,2Q,1.0,
Shermer High School,11:00am - 12:00pm,2024-03-19,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,9,F,A15772601BZD,2023-2024,4Q,1.0,
Shermer High School,9:00am - 10:00am,2024-04-04,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,9,F,A15772601BZD,2023-2024,4Q,2.0,
Shermer High School,11:00am - 12:00pm,2024-04-17,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,9,F,A15772601BZD,2023-2024,4Q,3.0,
Shermer High School,2:00pm -3:00pm,2024-05-02,Major Violation,,Continued Misconduct,Gym,105.0,W,W,M,9,F,A15772601BZD,2023-2024,4Q,3.0,
Bayside,8:00am - 9:00am,2024-11-06,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,M,2,F,A15470441BZD,2024-2025,2Q,1.0,
Bayside,8:00am - 9:00am,2024-12-04,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,M,2,F,A15470441BZD,2024-2025,2Q,2.0,
Shermer High School,9:00am - 10:00am,2024-12-10,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105.0,H,"W,H",M,10,F,A14884361BZD,2024-2025,2Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-04-12,Minor Violation (5 times in the same quarter),Other,,Lobby/Commons,17.0,W,W,F,0,P,A16491524BZD,2023-2024,4Q,1.0,
Rydell High School,12:00pm - 1:00pm,2024-11-14,Minor Violation (5 times in the same quarter),Other,,Playground,35.0,W,W,F,1,F,A16001546BZD,2024-2025,2Q,1.0,
Rydell High School,8:00am - 9:00am,2024-11-04,Minor Violation (5 times in the same quarter),Disruption,,Classroom,35.0,W,W,M,0,F,A16812362BZD,2024-2025,2Q,1.0,
Bayside,11:00am - 12:00pm,2024-11-06,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15.0,W,W,M,2,F,A15597974BZD,2024-2025,2Q,1.0,
Hill Valley High School,11:00am - 12:00pm,2024-08-14,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Cafeteria,5.0,W,W,M,3,P,A15236645BZD,2024-2025,1Q,1.0,
Hill Valley High School,12:00pm - 1:00pm,2024-11-07,Minor Violation (5 times in the same quarter),Disruption,,Classroom,5.0,W,W,M,0,P,A16132085BZD,2024-2025,2Q,1.0,
Hill Valley High School,12:00pm - 1:00pm,2024-11-20,Major Violation,,Fighting,Classroom,5.0,W,W,M,0,P,A16132085BZD,2024-2025,2Q,1.0,
Hill Valley High School,11:00am - 12:00pm,2024-11-22,Major Violation,,Fighting,Classroom,5.0,W,W,M,0,P,A16132085BZD,2024-2025,2Q,1.0,
Rydell High School,12:00pm - 1:00pm,2024-12-02,Minor Violation (5 times in the same quarter),Other,,Cafeteria,35.0,W,W,M,1,P,A15110879BZD,2024-2025,2Q,1.0,
Hill Valley High School,2:00pm -3:00pm,2024-12-02,Minor Violation (5 times in the same quarter),Other,,Playground,5.0,W,W,M,3,F,A15185672BZD,2024-2025,2Q,1.0,
Springfield Elementary,9:00am - 10:00am,2024-09-17,Minor Violation (5 times in the same quarter),Other,,Playground,17.0,W,W,M,0,F,A16030904BZD,2024-2025,1Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-10-02,Major Violation,,Assault,Classroom,17.0,W,W,M,0,F,A16741181BZD,2024-2025,1Q,0.0,
Springfield Elementary,11:00am - 12:00pm,2024-10-02,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,17.0,W,W,M,0,F,A16741181BZD,2024-2025,1Q,1.0,
Hill Valley High School,2:00pm -3:00pm,2024-09-03,Major Violation,,Continued Misconduct,Playground,5.0,W,W,M,3,F,A14434376BZD,2024-2025,1Q,0.0,
Hill Valley High School,2:00pm -3:00pm,2024-08-15,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,M,3,F,A14434376BZD,2024-2025,1Q,0.0,
Hill Valley High School,11:00am - 12:00pm,2024-08-16,Major Violation,,Continued Misconduct,Cafeteria,5.0,W,W,M,3,F,A14434376BZD,2024-2025,1Q,0.0,
Hill Valley High School,11:00am - 12:00pm,2024-08-21,Major Violation,,Continued Misconduct,Cafeteria,5.0,W,W,M,3,F,A14434376BZD,2024-2025,1Q,0.0,
Hill Valley High School,Unknown,2024-08-14,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,5.0,W,W,M,3,F,A14434376BZD,2024-2025,1Q,1.0,
Hill Valley High School,8:00am - 9:00am,2024-08-16,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5.0,W,W,M,3,F,A14434376BZD,2024-2025,1Q,2.0,
Hill Valley High School,11:00am - 12:00pm,2024-08-23,Minor Violation (5 times in the same quarter),Other,,Cafeteria,5.0,W,W,M,3,F,A14434376BZD,2024-2025,1Q,3.0,
Hill Valley High School,10:00am-11:00am,2024-09-05,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,M,3,F,A14434376BZD,2024-2025,1Q,3.0,
Hill Valley High School,12:00pm - 1:00pm,2024-10-04,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,M,3,F,A14434376BZD,2024-2025,2Q,3.0,
Hill Valley High School,2:00pm -3:00pm,2024-09-26,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,M,3,F,A14434376BZD,2024-2025,2Q,3.0,
Hill Valley High School,After School,2024-11-04,Major Violation,,Continued Misconduct,Bus,5.0,W,W,M,3,F,A14434376BZD,2024-2025,2Q,3.0,
Hill Valley High School,2:00pm -3:00pm,2024-11-13,Major Violation,,Continued Misconduct,Playground,5.0,W,W,M,3,F,A14434376BZD,2024-2025,2Q,3.0,
Hill Valley High School,12:00pm - 1:00pm,2024-11-14,Minor Violation (5 times in the same quarter),Other,,Cafeteria,5.0,W,W,M,3,F,A14434376BZD,2024-2025,2Q,4.0,
Hill Valley High School,12:00pm - 1:00pm,2024-11-22,Major Violation,,Assault,Cafeteria,5.0,W,W,M,3,F,A14434376BZD,2024-2025,2Q,4.0,
Hill Valley High School,11:00am - 12:00pm,2024-12-13,Major Violation,,Continued Misconduct,Cafeteria,5.0,W,W,M,3,F,A14434376BZD,2024-2025,2Q,0.0,
Hill Valley High School,11:00am - 12:00pm,2024-12-19,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,M,3,F,A14434376BZD,2024-2025,2Q,0.0,
Hill Valley High School,9:00am - 10:00am,2024-12-19,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,M,3,F,A14434376BZD,2024-2025,2Q,0.0,
Bayside,12:00pm - 1:00pm,2024-11-22,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,2,F,A15856496BZD,2024-2025,2Q,1.0,
Shermer High School,8:00am - 9:00am,2024-04-08,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,W,W,M,9,F,A12967373BZD,2023-2024,4Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-04-30,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,9,F,A12967373BZD,2023-2024,4Q,2.0,
Hill Valley High School,9:00am - 10:00am,2024-09-10,Minor Violation (5 times in the same quarter),Other,,Gym,5.0,W,W,M,0,P,A16001534BZD,2024-2025,1Q,1.0,
Hill Valley High School,8:00am - 9:00am,2024-10-29,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5.0,W,W,M,0,F,A16327700BZD,2024-2025,2Q,1.0,
Hill Valley High School,8:00am - 9:00am,2024-11-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,5.0,W,W,M,0,F,A16327700BZD,2024-2025,2Q,2.0,
Hill Valley High School,2:00pm -3:00pm,2024-11-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Media Center,5.0,W,W,M,0,F,A16327700BZD,2024-2025,2Q,3.0,
Hill Valley High School,10:00am-11:00am,2024-11-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5.0,W,W,F,4,F,A14785055BZD,2024-2025,2Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-04-12,Minor Violation (5 times in the same quarter),Other,,Lobby/Commons,17.0,W,W,M,0,F,A15788420BZD,2023-2024,4Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-11-12,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,B,"B,W",M,7,F,A13746125BZD,2024-2025,2Q,1.0,
